"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","8/554","10/21468",0.8,31.0007220216607,15.4439751842816,8.04651824764130e-12,1.05302102134133e-08,1.01753164085962e-08,"RNU5E-1/RNU5F-1/RNU4-2/RNU4-1/RNU5A-1/RNU5B-1/RNU6-1/RNU6-9",8
"GO:0000365","mRNA trans splicing, via spliceosome","8/554","10/21468",0.8,31.0007220216607,15.4439751842816,8.04651824764130e-12,1.05302102134133e-08,1.01753164085962e-08,"RNU5E-1/RNU5F-1/RNU4-2/RNU4-1/RNU5A-1/RNU5B-1/RNU6-1/RNU6-9",8
"GO:0045291","mRNA trans splicing, SL addition","8/554","10/21468",0.8,31.0007220216607,15.4439751842816,8.04651824764130e-12,1.05302102134133e-08,1.01753164085962e-08,"RNU5E-1/RNU5F-1/RNU4-2/RNU4-1/RNU5A-1/RNU5B-1/RNU6-1/RNU6-9",8
"GO:0000244","spliceosomal tri-snRNP complex assembly","10/554","42/21468",0.238095238095238,9.22640536358948,8.68532770763479,8.45530760173607e-08,8.29888441110396e-05,8.01919173596232e-05,"RNU5E-1/RNU5F-1/RNU4ATAC/RNU6ATAC/RNU4-2/RNU4-1/RNU5A-1/RNU5B-1/RNU6-1/RNU6-9",10
"GO:0000387","spliceosomal snRNP assembly","10/554","70/21468",0.142857142857143,5.53584321815369,6.18646374012614,1.19273035265413e-05,0.00936531872904024,0.00904968461255893,"RNU5E-1/RNU5F-1/RNU4ATAC/RNU6ATAC/RNU4-2/RNU4-1/RNU5A-1/RNU5B-1/RNU6-1/RNU6-9",10
"GO:0060004","reflex","6/554","23/21468",0.260869565217391,10.1089310940198,7.11361436772634,1.99574952547847e-05,0.0130588543950474,0.0126187391049551,"NPSR1/ADRA1A/TMC1/SLITRK6/NMB/HPN",6
"GO:0007204","positive regulation of cytosolic calcium ion concentration","15/554","173/21468",0.0867052023121387,3.35990484338808,5.07225092049669,4.47462889174506e-05,0.0250962757557016,0.024250469963683,"CXCR6/PROK2/ACKR4/CD38/CHRNA9/EDN1/CD36/CALCR/P2RY4/ADRA1A/LPAR1/NMB/GALR1/GIPR/FPR3",15
"GO:0014003","oligodendrocyte development","8/554","52/21468",0.153846153846154,5.96167731185782,5.83019415117556,5.17814826936749e-05,0.0254117626319209,0.0245553241615795,"SOX11/LPAR1/ABCA2/NKX6-2/MYRF/FA2H/ASPA/SOX10",8
"GO:0022010","central nervous system myelination","6/554","29/21468",0.206896551724138,8.01742810905017,6.15455585769861,8.23317743440269e-05,0.0323234546074649,0.031234075235355,"ABCA2/NKX6-2/MYRF/FA2H/ASPA/SOX10",6
"GO:0032291","axon ensheathment in central nervous system","6/554","29/21468",0.206896551724138,8.01742810905017,6.15455585769861,8.23317743440269e-05,0.0323234546074649,0.031234075235355,"ABCA2/NKX6-2/MYRF/FA2H/ASPA/SOX10",6
"GO:0031643","positive regulation of myelination","5/554","19/21468",0.263157894736842,10.1976059281778,6.52784874292612,9.68155778499382e-05,0.0345543598762598,0.0333897935474811,"CDK18/EGR2/MYRF/ITGAX/SOX10",5
